"caste_id","caste_name","religion_id","cat_id"
237,Kadayan,2,4
238,Kalali,2,4
239,Kalari Panikkar,2,4
240,Kalavanthula,2,4
241,Kalingi,2,4
242,Kallan,2,4
243,Kallasari,2,4
244,Kalthachan,2,4
245,Kammala,2,4
246,Kammalan,2,4
247,Kannan,2,4
248,Kannian,2,4
249,Karikalabhaktulu,2,4
250,Karnibhakatula,2,4
251,Karuvan,2,4
252,Kavathi,2,4
253,Kelasi,2,4
254,Kharvi,2,4
255,khatri,2,4
256,Khodala,2,4
257,Kidaran,2,4
258,Kitara,2,4
259,Koikulam,2,4
260,Kolaries,2,4
261,Kollan,2,4
262,Kongu Vellala Gounder,2,4
263,Koppalavelams,2,4
264,Korachas,2,4
265,Koteyar,2,4
266,Krishnanvaka,2,4
267,Kudiyan,2,4
268,Kuppam,2,4
269,Kuruba,2,4
270,Labbai,2,4
271,Lambadis,2,4
272,Latin Catholic,1,4
273,LC Nadar,2,4
274,Leather Smith,2,4
275,Madugar,2,4
276,Magaran,2,4
277,Mahendara,2,4
278,Mahratta,2,4
279,Malayal Kammala,2,4
280,Malayaman,2,4
281,Male,2,4
282,Mangala,2,4
283,Maniyanies,2,4
284,Mappila,3,4
285,Marassari,2,4
286,Maravan,2,4
287,Maravar,2,4
288,Maruthuvar,2,4
289,Medara,2,4
290,Medavar,2,4
291,Melakudi,2,4
292,Methan,2,4
293,Modi Benda,2,4
294,Moili,2,4
295,Moniagar,2,4
296,Mooppanar,2,4
297,Moovari,2,4
298,Muduva,2,4
299,Mukhari,2,4
300,Muniyani,2,4
301,Musari,2,4
302,Muslim,3,4
303,Muthali,2,4
304,Muthaliyar,2,4
305,Muthiryyana,2,4
306,Mutracha,2,4
307,Nadar,2,4
308,Nagavamsam,2,4
309,Nainar,2,4
310,Nakkale,2,4
311,Namdev,2,4
312,Nasivan,2,4
313,Nathaman,2,4
314,Nattu Gounder,2,4
315,Navithiyan,2,4
316,Nolkodaya,2,4
317,Nou_Brahma,2,4
318,Odiya,2,4
319,Oiulu,2,4
320,Omanaite,2,4
321,Oriya,2,4
322,Padmasali,2,4
323,Padyachi Villayan,2,4
324,Pala Gounder,2,4
325,Pala Vellala Gounder,2,4
326,Palli,2,4
327,Pamula,2,4
328,Pandi Kammala,2,4
329,Pangadikara,2,4
330,Pannayar,2,4
331,Panniyar,2,4
332,Parivara Bunt,2,4
333,Parkavakulam,2,4
334,Parvatharajakulam,2,4
335,Patnulkaran,2,4
336,Pattanavan,2,4
337,Pattusali,2,4
338,Pentias,2,4
339,Perika,2,4
340,Perike Bafija,2,4
341,Pichigunta,2,4
342,Poosari Gounder,2,4
343,Poraya,2,4
344,Pranopakari,2,4
345,Pulsalavadu,2,4
346,Puraigiri Khatriya,2,4
347,Rajaka,2,4
348,Rajapuri,2,4
349,Reddi,2,4
350,Ronas,2,4
351,Sagara,2,4
352,Saiva Pillai,2,4
353,Saivavellala,2,4
354,Sakravar,2,4
355,Sale,2,4
356,Sali,2,4
357,Saliyan,2,4
358,Sedan,2,4
359,Senaikudayan,2,4
360,Senaithalavar,2,4
361,Senapathulu,2,4
362,Setti Balija,2,4
363,Sheragara,2,4
364,SIUC,2,4
365,SIUC Nadar,2,4
366,Siva Nadar,2,4
367,Siviar,2,4
368,Sourashtra,2,4
369,Srisayana,2,4
370,Sugalis,2,4
371,Thandaman,2,4
372,Thandan,2,4
373,Thatapu,2,4
374,Thatan,2,4
375,Thegata Veera Kshathriya,2,4
376,Thigala,2,4
377,Thiyya,2,4
378,Thogata,2,4
379,Tholikula,2,4
380,Tholuva Naicker,2,4
381,Thondaiman,2,4
382,Thoriyan,2,4
383,Thurupu Rapus,2,4
384,Uppara,2,4
385,Ural Goundan,2,4
386,Ural Goundan,2,4
387,Vaisavi,2,4
388,Vaisya,2,4
389,Vaisyachetti,2,4
390,Vakkaliga,2,4
391,Valiyan,2,4
392,Vanika Saiva,2,4
393,Vaniya Chettiar,2,4
394,Vanniyakulakshethriya,2,4
395,Veddai,2,4
396,Vellala,2,4
397,Vellala Gounder,2,4
398,Vellala Pillai,2,4
399,Vethakkara,2,4
400,Vettalakara Naicker,2,4
401,Villasan,2,4
402,Virakodi Vellalars,2,4
403,Viswakarma,2,4
404,Vodde,2,4
405,Wilkurup,2,4
406,X-Nadar,2,4
407,Adiyan,2,3
408,Aranadan,2,3
409,Arandan,2,3
410,Cholanaickan,2,3
411,Eravallan,2,3
412,Hill Pulaya,2,3
413,Irulan,2,3
414,Irular,2,3
415,Jenu Kurumban,2,3
416,Kadar,2,3
417,Kanikaran,2,3
418,Kanikkar,2,3
419,Karavazhi Pulayan,2,3
420,Karimpalan,2,3
421,Kattunayakan,2,3
422,Kochuvelan,2,3
423,Konga Malayan,2,3
424,Koraga,2,3
425,Kudiya,2,3
426,Kurichchan,2,3
427,Kurichiyan,2,3
428,Kurumans,2,3
429,Kurumba Pulayan,2,3
430,Kurumban,2,3
431,Kurumbar,2,3
432,Kurumbas,2,3
433,Maha Malasar,2,3
434,Mala Arayan,2,3
435,Mala Kuruman,2,3
436,Mala Panickar,2,3
437,Mala Pulayan,2,3
438,Mala Vedan,2,3
439,Mala Vettuvan,2,3
440,Malai Arayan,2,3
441,Malai Pandaram,2,3
442,Malai Vedan,2,3
443,Malakkuravan,2,3
444,Malasar,2,3
445,Malayan,2,3
446,Malayarayar,2,3
447,Mannan,2,3
448,Marati,2,3
449,Mavilan,2,3
450,Melakudi,2,3
451,Mudugar,2,3
452,Muduvan,2,3
453,Mulla Kuruman,2,3
454,Mullu Kuruman,2,3
455,Muthuvan,2,3
456,Nattu Malayan,2,3
457,Paliyan,2,3
458,Palleyan,2,3
459,Palliyan,2,3
460,Palliyar,2,3
461,Pamba Pulayan,2,3
462,Paniyan,2,3
463,Ten Kurumban,2,3
464,Thachanadan,2,3
465,Thachanadan Moopan,2,3
466,Ulladan,2,3
467,Ullatan,2,3
468,Uraly,2,3
469,Vetta Kuruman,2,3
470,Wayanad Kadar,2,3
471,Brahmin,2,1
472,Chakkalath Nair,2,1
473,Christian,1,1
474,Christian Catholic,1,1
475,Christian Jacobite,1,1
476,Christian Malankara,1,1
477,Christian Marthoma,1,1
478,Christian Orthodox,1,1
479,Christian Pentacost,1,1
480,CSI,1,1
481,Duptan,2,1
482,GSB,2,1
483,Jacobite,1,1
484,Kaimal,2,1
485,Kartha,2,1
486,Kaunder,2,1
487,Kshethriya,2,1
488,Kurup,2,1
489,Mannadia,2,1
490,Marar,2,1
491,Menon,2,1
492,Mosath,2,1
493,Naidu,2,1
494,Nair,2,1
495,Nambeesan,2,1
496,Nambiar,2,1
497,Namboothiri,2,1
498,Nayanar,2,1
499,Pillai,2,1
500,Pisharody,2,1
501,Pothuval,2,1
502,Pushpaka,2,1
503,Rawther,2,1
504,RC,1,1
505,RCSC,2,1
506,Shrudan,2,1
507,Suriyani,1,1
508,Syrian Catholic,1,1
509,Tharakan,2,1
510,Thevar,2,1
511,Warrier,2,1
512,Yadava,2,4
513,Pitarar,2,1
514,Yogi,2,4
515,No Caste,4,1
